id,category,volume_cm3,weight_grams,price_hellers,profit_hellers
79,Books,577,257,34057,6584
80,Books,1479,371,35405,6639
81,Books,1369,454,18698,4065
82,Books,877,263,63035,12699
83,Books,676,252,37514,6006
84,Books,2211,843,13011,2418
85,Books,744,423,12900,1937
86,Books,662,237,27471,6245
87,Books,3733,2109,40537,10935
88,Books,1252,445,24935,3195
89,Books,1211,1086,33061,6816
90,Books,1238,254,50714,10475
91,Books,841,515,58331,15362
92,Books,431,362,25878,4556
93,Books,1147,531,33519,4999
94,Books,359,175,27494,6700
95,Books,2502,891,92721,13897
96,Books,2084,326,26297,4970
97,Books,557,330,14249,2966
98,Books,497,236,25965,5742
99,Books,841,476,34150,6352
100,Books,1080,512,45623,9439
101,Books,1055,394,16931,3472
102,Books,1793,378,23125,4738
103,Books,1099,277,52680,10289
104,Books,1543,454,46033,6286
105,Books,1110,727,59010,12631
106,Books,1192,394,47593,10835
107,Books,3452,1883,38714,7425
108,Books,1265,657,20718,3550
109,Books,1004,412,128093,26517
110,Books,2357,1351,70854,15635
111,Books,978,600,15780,3243
112,Books,510,392,37103,11515
113,Books,1114,746,43142,8632
114,Books,576,275,30982,6496
115,Books,1086,673,35390,5433
116,Books,333,235,27473,5700
117,Books,678,310,19707,4783
118,Books,747,292,39506,8722
119,Books,669,177,65758,15595
120,Books,2723,1304,49368,8659
121,Books,2018,762,25459,5138
122,Books,556,249,33023,6770
123,Books,2035,645,41723,7267
124,Books,457,283,56808,13237
125,Books,1172,574,24783,4233
126,Books,710,1163,7851,1231
127,Books,480,239,27506,7310
128,Books,467,311,25856,5871
129,Books,1504,794,26954,5161
130,Books,917,476,85535,14679
131,Books,1010,500,92498,24850
132,Books,884,251,31083,6905
133,Books,3961,1257,49458,12246
134,Books,1412,437,46850,8205
135,Books,1359,384,71307,12562
136,Books,1791,584,52886,10730
137,Books,762,155,57419,10922
138,Books,1919,512,35348,6554
139,Books,1360,287,47628,9428
140,Books,418,184,46119,7891
141,Books,561,138,35504,6200
142,Books,934,294,106723,24946
143,Books,729,265,85815,17891
144,Books,1131,450,28146,5257
145,Books,1194,590,28519,6614
146,Books,722,198,34731,6195
147,Books,921,489,41554,7489
148,Books,264,222,12226,3218
149,Books,2238,868,23182,5493
150,Books,365,240,28365,6006
151,Books,608,391,15009,2861
152,Books,652,165,29614,7124
153,Books,649,233,49660,13503
154,Books,2516,965,61483,11111
155,Books,2933,1216,58431,10391
156,Books,1175,528,37823,7157
157,Books,876,152,31221,6872
158,Books,1275,466,54482,11448
159,Books,829,327,18165,3831
160,Books,972,340,61373,11867
161,Books,883,179,57470,14818
162,Books,1228,283,36074,4487
163,Books,1429,596,31482,6358
164,Books,1413,432,38431,7663
165,Books,1358,428,27945,6381
166,Books,1870,577,45613,10886
167,Books,1336,386,46783,8789
168,Books,1115,879,41779,9094
169,Books,900,299,29721,4682
170,Books,652,270,16874,3748
171,Books,245,85,41726,7084
172,Books,1151,603,30594,3836
173,Books,845,313,41991,10677
174,Books,1535,405,24211,4995
175,Books,1817,310,33689,7616
176,Books,914,499,33133,7176
177,Books,930,268,35774,7319
178,Books,3990,987,62619,16125
179,Books,1153,872,23502,4982
180,Books,1586,571,34563,7395
181,Books,1052,277,66940,10032
182,Books,4847,1146,36073,6347
183,Books,1997,658,27737,6875
184,Books,617,186,17139,3120
185,Books,881,586,23408,4843
186,Books,1266,323,34242,5959
187,Books,1406,253,33306,7336
188,Books,1906,854,73605,15286
189,Books,1675,598,33354,7118
190,Books,1758,919,13827,3509
191,Books,1008,198,40443,7674
192,Books,1313,346,41289,9986
193,Books,477,155,38648,5772
194,Books,1039,537,73247,10942
195,Books,1048,490,37739,9150
196,Books,1552,402,27692,6227
197,Books,1536,998,30268,7780
198,Books,831,314,27813,4867
199,Books,2237,590,29178,6488
200,Books,705,349,56754,12094
201,Books,692,213,11348,1787
202,Books,2268,618,63973,16448
203,Books,2559,795,124454,20762
204,Books,1633,707,45320,8484
205,Books,1379,361,19609,5343
206,Books,653,321,18987,4931
207,Books,853,382,39722,8364
208,Books,1500,717,28529,4350
209,Books,443,393,26622,5858
210,Books,898,413,24669,3698
211,Books,652,410,58362,14349
212,Books,1153,442,27507,6303
213,Books,877,275,66210,11787
214,Books,3659,1864,84357,9855
215,Books,2651,808,17227,4340
216,Books,593,223,13916,4226
217,Books,1604,596,30230,5056
218,Books,991,603,31697,7426
219,Books,1527,315,28034,4764
220,Books,3020,580,31110,5906
221,Books,1116,611,40101,7519
222,Books,1026,378,21391,3009
223,Books,772,259,21088,3251
224,Books,3666,1391,47318,8870
225,Books,2842,1524,58820,11887
226,Books,868,357,27830,6829
227,Books,1779,529,35889,8449
228,Books,1395,635,25222,5125
229,Books,1228,359,43888,7186
230,Books,2637,951,65777,9649
231,Books,1092,407,19485,5693
232,Books,1480,789,16240,4053
233,Books,1079,286,39835,9122
234,Books,992,671,25523,4203
235,Books,2398,933,45495,7933
236,Books,2571,953,27479,5706
237,Books,987,697,50075,11286
238,Books,1083,510,72166,11087
239,Books,1061,417,60077,14239
240,Books,2626,804,35038,5642
241,Books,674,315,24434,5654
242,Books,2813,714,26338,4655
243,Books,1311,284,31777,5650
244,Books,1868,905,92800,24236
245,Books,1666,598,27121,5502
246,Books,960,408,32928,6616
247,Books,364,119,16602,2721
248,Books,2369,907,26748,6497
249,Books,284,141,33243,8584
250,Books,2492,1007,27177,5932
251,Books,2168,382,45745,10171
252,Books,497,216,37215,6730
253,Books,888,262,28008,5795
254,Books,873,657,39000,7217
255,Books,1379,810,27720,5581
256,Books,949,423,18669,4234
257,Books,1194,433,25728,4419
258,Books,1037,997,47052,10138
259,Books,1531,533,30163,5020
260,Books,783,279,28510,7540
261,Books,935,398,33045,6225
262,Books,1547,396,50724,8028
263,Books,1049,426,28872,5651
264,Books,502,256,28062,5677
265,Books,2009,944,62142,12517
266,Books,772,417,95100,20547
267,Books,1292,375,46603,8668
268,Books,1526,450,54211,17412
269,Books,1001,381,20106,4053
270,Books,4063,879,25099,5009
271,Books,886,171,31340,5412
272,Books,629,390,21063,2550
273,Books,1775,561,34767,7220
274,Books,1044,348,19634,4685
275,Books,2302,868,59423,16416
276,Books,1560,963,10982,2599
277,Books,619,191,38232,7889
278,Books,1709,1143,29667,5122
279,Books,1096,524,47181,9365
280,Books,747,208,22261,4221
281,Books,734,138,53477,12195
282,Books,839,294,32926,6791
283,Books,1329,710,86350,16638
284,Books,845,234,25066,5551
285,Books,1154,473,36228,7422
286,Books,2332,652,54109,9982
287,Books,799,258,28350,5534
288,Books,1678,884,17489,4843
289,Books,1274,687,18632,2911
290,Books,486,203,35504,6175
291,Books,1018,218,40383,7695
292,Books,1615,555,33006,6989
293,Books,1299,410,11110,2709
294,Books,531,360,20542,4771
295,Books,1025,376,21314,4766
296,Books,580,375,33022,5861
297,Books,1552,468,37257,5455
298,Books,4197,2079,18478,2874
299,Books,1798,290,34056,6383
300,Books,1230,511,50038,10144
301,Books,338,119,24777,4903
302,Books,1947,531,7148,1238
303,Books,569,168,33223,7647
304,Books,2420,487,29448,5054
305,Books,2133,689,24908,5066
306,Books,1298,493,31110,6492
307,Books,737,509,22552,6736
308,Books,674,150,45070,10374
309,Books,1339,481,27487,5494
310,Books,1160,400,31539,5058
311,Books,2820,1627,29653,4773
312,Books,728,223,33182,6698
313,Books,1481,950,41009,11675
314,Books,2090,497,37508,6240
315,Books,1970,1285,16649,3213
316,Books,1023,342,90439,20061
317,Books,659,404,36738,10057
318,Books,1427,859,28061,5028
319,Books,665,276,16836,3575
320,Books,948,257,40114,7925
321,Books,1119,503,35897,10519
322,Books,1446,632,57454,10277
323,Books,1297,240,31644,4827
324,Books,1449,505,36953,7253
325,Books,1107,373,60862,12133
326,Books,3144,911,37454,4573
327,Books,1598,737,21719,2520
328,Books,1532,379,54326,12268
329,Books,1063,421,68938,18008
330,Books,892,587,37492,5868
331,Books,487,367,27066,6207
332,Books,4837,1126,21492,3311
333,Books,768,479,35392,5786
334,Books,980,496,31704,4884
335,Books,1221,457,21244,4648
336,Books,1442,604,35686,9326
337,Books,4073,827,39435,7375
338,Books,1481,481,38979,9864
339,Books,2034,710,34230,5259
340,Books,697,148,22497,5441
341,Books,1144,714,34844,6580
342,Books,1731,665,57100,11122
343,Books,491,260,16787,3824
344,Books,725,152,23683,6899
345,Books,2122,733,23664,6858
346,Books,973,346,18761,2712
347,Books,710,345,76157,12542
348,Books,590,267,34617,9196
349,Books,1147,320,62434,20219
350,Books,946,514,34321,5027
351,Books,1567,465,92318,22530
352,Books,1256,874,41127,6991
353,Books,1242,408,52746,9694
354,Books,2178,512,77981,13007
355,Books,719,308,47251,12555
356,Books,864,378,50872,11890
357,Books,652,246,23340,4279
358,Books,2130,1117,54007,8874
359,Books,1538,472,24020,6194
360,Books,1287,412,26195,6089
361,Books,1569,550,44707,11512
362,Books,1798,509,36175,7194
363,Books,1100,402,13158,2854
364,Books,443,144,23230,4658
365,Books,1063,240,24250,4803
366,Books,1786,660,31768,6621
367,Books,954,335,37378,8598
368,Books,1620,776,33486,7304
369,Books,855,195,71129,13127
370,Books,827,579,22316,4577
371,Books,789,713,16926,3094
372,Books,966,832,28828,5526
373,Books,1180,673,61913,13179
374,Books,1623,578,61186,11297
375,Books,1441,492,72219,11694
376,Books,1645,520,52917,13174
377,Books,1403,817,57882,11194
378,Books,1080,338,30482,4832
379,Books,544,242,22139,3744
380,Books,714,290,30824,5796
381,Books,1761,601,52425,22245
382,Books,3566,685,37990,7897
383,Books,616,289,36385,7438
384,Books,711,284,30266,6807
385,Books,1443,379,39423,5892
386,Books,5719,2137,28230,5060
387,Books,762,311,23433,3311
388,Books,2504,895,27772,6182
389,Books,973,424,63777,13653
390,Books,687,257,37100,8613
391,Books,693,468,52427,7675
392,Books,1215,489,30165,4393
393,Books,1052,445,26192,6826
394,Books,1357,901,39933,11146
395,Books,1586,517,18669,3368
396,Books,990,351,48591,13574
397,Books,1125,622,38674,5975
398,Books,1181,587,35189,8411
399,Books,820,262,36109,6579
400,Stationery,2672,1061,21487,4495
401,Stationery,1898,848,40490,7249
402,Stationery,2712,1441,32301,7455
403,Stationery,3582,848,62310,10643
404,Stationery,3361,1624,14872,3391
405,Stationery,4689,913,33382,12527
406,Stationery,1381,724,14138,3550
407,Stationery,3534,606,16260,4538
408,Stationery,3187,840,40620,8291
409,Stationery,2339,1542,15553,3604
410,Stationery,3444,1039,30261,6576
411,Stationery,2572,814,39072,8448
412,Stationery,1218,371,18785,6594
413,Stationery,2158,969,38579,9009
414,Stationery,2549,944,25564,7324
415,Stationery,3562,897,20108,5799
416,Stationery,1600,724,42321,10143
417,Stationery,5833,955,48127,11054
418,Stationery,2229,636,101807,25335
419,Stationery,3672,1717,9804,2247
420,Stationery,1372,744,21419,7083
421,Stationery,1363,1276,32148,7977
422,Stationery,666,255,25716,6715
423,Stationery,4527,1399,11045,4395
424,Stationery,1259,632,15374,6590
425,Stationery,6786,1919,35547,10406
426,Stationery,4766,975,16311,3470
427,Stationery,2707,541,26708,5566
428,Stationery,877,587,27755,7721
429,Stationery,2508,601,14731,3819
430,Stationery,4692,948,45588,11121
431,Stationery,2137,671,103110,20944
432,Stationery,1536,920,21276,6162
433,Stationery,1340,1109,47806,10354
434,Stationery,3915,1382,24799,7711
435,Stationery,1980,814,52682,13313
436,Stationery,3445,919,43459,9346
437,Stationery,1885,540,26959,7881
438,Stationery,4003,932,56340,10005
439,Stationery,1425,646,37090,8984
440,Stationery,1705,393,16102,4185
441,Stationery,1264,554,26857,8021
442,Stationery,2414,1127,22592,6765
443,Stationery,3188,942,31017,6659
444,Stationery,1326,545,19777,5314
445,Stationery,1995,871,19000,4967
446,Stationery,3518,390,26241,5823
447,Stationery,5334,1417,14273,3425
448,Stationery,1246,856,13140,4526
449,Stationery,1242,939,21091,6164
450,Stationery,5478,1982,66201,16304
451,Stationery,2867,1105,19833,4900
452,Stationery,1500,531,51393,11240
453,Stationery,3000,661,6504,2426
454,Stationery,5198,1699,22942,5031
455,Stationery,3597,557,32551,8039
456,Stationery,3335,970,22439,5500
457,Stationery,2220,518,30198,11668
458,Stationery,1170,389,12414,3079
459,Stationery,1396,675,33346,8557
460,Stationery,3259,1004,15832,4565
461,Stationery,3441,611,13497,3258
462,Stationery,2732,518,27568,8093
463,Stationery,2175,391,17086,4293
464,Stationery,2091,558,16707,3966
465,Stationery,3256,671,44606,9487
466,Stationery,2547,1350,13621,4188
467,Stationery,1837,964,20951,4064
468,Stationery,1997,827,38097,12858
469,Stationery,1207,441,26202,6413
470,Stationery,1923,759,25563,7246
471,Stationery,1466,667,18663,5314
472,Stationery,1263,524,59520,15815
473,Stationery,1457,294,60157,16571
474,Stationery,5566,1386,21695,4161
475,Stationery,4645,2238,51872,10056
476,Stationery,1456,489,36181,5486
477,Stationery,8468,2079,6717,1891
478,Stationery,2258,796,17479,3106
479,Stationery,3217,809,34183,9260
480,Stationery,800,467,36519,8454
481,Stationery,3932,935,19849,4106
482,Stationery,2969,947,15598,3722
483,Stationery,5033,1035,19461,6180
484,Stationery,7371,2253,39471,8481
485,Stationery,2421,562,33498,5942
486,Stationery,2139,573,25884,6290
487,Stationery,2158,1458,8928,2102
488,Stationery,2535,676,47518,13176
489,Stationery,2023,669,16346,4498
490,Stationery,3186,2694,19692,3776
491,Stationery,1784,925,9906,2269
492,Stationery,2747,831,44382,9879
493,Stationery,4202,1363,21121,4458
494,Stationery,2361,1291,70228,15049
495,Stationery,2907,1817,31279,6484
496,Stationery,1566,363,16203,3677
497,Stationery,922,348,65830,13994
498,Stationery,4697,1155,23600,4864
499,Stationery,2349,661,15651,3535
500,Stationery,1147,385,19289,5708
501,Stationery,3937,903,54939,15422
502,Stationery,3034,646,8326,1681
503,Stationery,942,537,27919,5181
504,Stationery,2601,763,44129,11514
505,Stationery,2329,1014,20945,5988
506,Stationery,4951,2278,25583,7174
507,Stationery,2051,1084,9189,2340
508,Stationery,1352,819,13509,3582
509,Stationery,3520,1116,28288,7611
510,Stationery,6285,2129,15223,3800
511,Stationery,2936,574,7634,1584
512,Stationery,7864,2218,52579,11322
513,Stationery,4216,1058,37489,8525
514,Stationery,2507,950,9937,2394
515,Stationery,2864,1947,20423,4267
516,Stationery,2131,734,32942,10479
517,Stationery,1591,381,23309,7869
518,Stationery,3170,1391,18936,5175
519,Stationery,1355,735,30341,9570
520,Stationery,1427,384,43731,10023
521,Stationery,3584,1473,64046,17390
522,Stationery,3177,1437,53432,16931
523,Stationery,1731,973,87750,18933
524,Stationery,5443,954,17895,5546
525,Stationery,1687,299,54469,11318
526,Stationery,2316,1194,23007,4995
527,Stationery,3516,1119,53270,15228
528,Stationery,3554,1689,23536,5338
529,Stationery,1881,678,12215,4019
530,Stationery,4716,1569,17555,4126
531,Stationery,607,181,9165,2200
532,Stationery,1278,598,17481,3575
533,Stationery,4355,1414,34234,9642
534,Stationery,3149,1459,28679,4948
535,Stationery,2514,585,34076,8699
536,Stationery,2779,867,14048,3511
537,Stationery,4309,1624,35536,11192
538,Stationery,2947,1039,21706,6178
539,Stationery,2598,413,16867,5429
540,Stationery,1140,302,32360,9492
541,Stationery,5161,1847,87506,32700
542,Stationery,3604,1531,27953,6488
543,Stationery,2296,405,16794,4456
544,Stationery,2381,521,21966,4420
545,Stationery,2959,940,28723,7657
546,Stationery,4875,1215,19570,4810
547,Stationery,3789,3852,55818,10466
548,Stationery,2364,433,53781,13827
549,Stationery,2546,1068,44442,12721
550,Stationery,1572,897,24833,6900
551,Stationery,1731,461,25408,6263
552,Stationery,1963,893,16664,3927
553,Stationery,3136,664,16231,4067
554,Stationery,2205,347,13019,3638
555,Stationery,964,338,17226,4608
556,Stationery,2320,620,28249,8113
557,Stationery,2395,709,31068,6302
558,Stationery,2542,904,26163,7550
559,Stationery,1001,616,20526,4100
560,Stationery,1460,603,33258,7468
561,Stationery,3447,917,34809,7960
562,Stationery,1348,292,56670,14536
563,Stationery,10577,4784,31458,7571
564,Stationery,1757,765,61900,16315
565,Stationery,3336,519,32187,10293
566,Stationery,2923,953,22231,4701
567,Stationery,2657,979,21066,3901
568,Stationery,967,723,23368,7819
569,Stationery,2454,860,11774,2416
570,Stationery,2533,711,93301,21318
571,Stationery,3577,782,17202,4715
572,Stationery,2414,1006,21581,5326
573,Stationery,3516,781,39675,11982
574,Stationery,1403,981,35369,7436
575,Stationery,2237,514,13588,3599
576,Stationery,1171,769,21115,5267
577,Stationery,1746,623,18596,4312
578,Stationery,784,243,34216,8408
579,Stationery,2185,561,18685,5920
580,Stationery,4446,876,24210,7083
581,Stationery,7378,2152,19000,5915
582,Stationery,1783,490,70052,23377
583,Stationery,1822,375,43160,9095
584,Stationery,1105,355,32372,8503
585,Stationery,2280,717,21084,6517
586,Stationery,957,334,10342,2767
587,Stationery,2964,1012,16184,5350
588,Stationery,1293,319,31225,10098
589,Stationery,3267,2576,15842,4719
590,Stationery,7193,1865,51064,16043
591,Stationery,5549,1691,12495,2681
592,Stationery,1966,572,19651,6024
593,Stationery,7716,5025,28966,9299
594,Stationery,5093,1432,30514,10520
595,Stationery,3354,1241,69621,17646
596,Stationery,7581,1990,46010,17438
597,Stationery,2177,474,28864,4724
598,Stationery,1840,497,26476,8086
599,Stationery,3594,980,21303,6338
600,Stationery,3361,1136,41836,13087
601,Stationery,2088,311,21459,5150
602,Stationery,4123,2299,43303,9532
603,Stationery,2494,957,6529,1625
604,Stationery,4251,959,36919,12191
605,Stationery,6808,1843,18003,3650
606,Stationery,862,604,21977,4977
607,Stationery,3774,510,43315,9548
608,Stationery,872,398,13798,4399
609,Stationery,1196,469,22258,5751
610,Stationery,3915,1944,54526,12296
611,Stationery,502,303,8272,2486
612,Stationery,3027,983,36093,9207
613,Stationery,3511,1365,26472,6554
614,Stationery,2310,961,15528,4440
615,Stationery,2285,870,126804,37308
616,Stationery,2464,954,26784,4973
617,Stationery,4742,2208,32612,8820
618,Stationery,2078,958,55761,15779
619,Stationery,2961,808,26013,10090
620,Stationery,2440,873,14278,3919
621,Stationery,9647,2183,44442,13365
622,Stationery,1704,546,26042,5763
623,Stationery,6126,1983,41043,8420
624,Stationery,2282,566,12278,3460
625,Stationery,1398,1075,18425,4337
626,Stationery,6118,1776,28100,5292
627,Stationery,2957,1006,37717,7996
628,Stationery,2499,1172,21271,3878
629,Stationery,4514,389,31876,7508
630,Stationery,3457,1564,28956,5828
631,Stationery,3917,782,40014,8888
632,Stationery,1084,685,31304,7817
633,Stationery,4442,1538,44694,10776
634,Stationery,476,381,25011,7463
635,Stationery,1922,674,18270,4671
636,Stationery,1069,557,25536,8784
637,Stationery,2199,666,29253,6928
638,Stationery,8994,2506,40766,9679
639,Stationery,931,547,28405,6825
640,PhoneAccessories,1179,235,107603,36191
641,PhoneAccessories,4190,514,84416,28764
642,PhoneAccessories,543,251,24042,8001
643,PhoneAccessories,296,76,67538,22474
644,PhoneAccessories,1510,332,66077,30012
645,PhoneAccessories,125,33,74758,24775
646,PhoneAccessories,685,423,59564,16578
647,PhoneAccessories,306,97,71422,21470
648,PhoneAccessories,602,255,62097,20390
649,PhoneAccessories,723,185,85353,30980
650,PhoneAccessories,223,116,44360,10058
651,PhoneAccessories,2653,848,92056,36144
652,PhoneAccessories,4777,375,42057,14155
653,PhoneAccessories,398,187,65590,22348
654,PhoneAccessories,250,236,127680,50715
655,PhoneAccessories,1489,1456,41709,14493
656,PhoneAccessories,1275,436,30352,13284
657,PhoneAccessories,922,291,40288,12075
658,PhoneAccessories,1266,448,41746,15541
659,PhoneAccessories,592,280,13674,4252
660,PhoneAccessories,1504,348,32412,12891
661,PhoneAccessories,318,156,41442,12461
662,PhoneAccessories,1039,344,64107,24441
663,PhoneAccessories,1626,266,52129,24071
664,PhoneAccessories,1206,474,42255,11507
665,PhoneAccessories,200,101,45540,14691
666,PhoneAccessories,1216,217,87589,24279
667,PhoneAccessories,1115,314,34962,12511
668,PhoneAccessories,855,189,63260,18120
669,PhoneAccessories,372,124,52277,23465
670,PhoneAccessories,1232,424,35630,15364
671,PhoneAccessories,386,201,33772,9671
672,PhoneAccessories,615,311,20601,10715
673,PhoneAccessories,1533,311,82740,31058
674,PhoneAccessories,993,282,30948,11162
675,PhoneAccessories,745,389,14700,4376
676,PhoneAccessories,551,144,52045,18638
677,PhoneAccessories,821,309,101433,41329
678,PhoneAccessories,651,494,53488,17056
679,PhoneAccessories,500,245,34675,9178
680,PhoneAccessories,712,98,76546,29398
681,PhoneAccessories,732,319,29477,6284
682,PhoneAccessories,311,122,18805,6221
683,PhoneAccessories,1580,1131,55759,17420
684,PhoneAccessories,934,479,28230,7014
685,PhoneAccessories,585,246,14368,6331
686,PhoneAccessories,638,193,53885,16562
687,PhoneAccessories,567,176,21529,5780
688,PhoneAccessories,457,227,53531,21121
689,PhoneAccessories,943,486,101285,48042
690,PhoneAccessories,400,171,16894,5223
691,PhoneAccessories,948,299,40609,13610
692,PhoneAccessories,652,229,43717,11701
693,PhoneAccessories,1205,677,28735,11911
694,PhoneAccessories,2083,516,120031,51944
695,PhoneAccessories,1544,406,74157,22139
696,PhoneAccessories,876,377,23849,5993
697,PhoneAccessories,3286,1188,67195,18062
698,PhoneAccessories,2973,667,42259,16558
699,PhoneAccessories,837,566,64379,25581
700,PhoneAccessories,1262,246,25614,8450
701,PhoneAccessories,1485,476,32399,10565
702,PhoneAccessories,174,243,44300,15589
703,PhoneAccessories,309,105,44418,19913
704,PhoneAccessories,588,172,35533,13240
705,PhoneAccessories,712,259,27680,10614
706,PhoneAccessories,1043,584,77715,21522
707,PhoneAccessories,1707,352,169666,59895
708,PhoneAccessories,925,338,58668,24677
709,PhoneAccessories,1577,238,85005,31188
710,PhoneAccessories,717,226,41961,15094
711,PhoneAccessories,1118,250,23591,7532
712,PhoneAccessories,304,118,27892,10959
713,PhoneAccessories,1047,400,71326,29354
714,PhoneAccessories,1318,549,100430,34732
715,PhoneAccessories,1404,664,29041,10022
716,PhoneAccessories,470,332,59935,26184
717,PhoneAccessories,567,125,41447,13250
718,PhoneAccessories,500,215,33129,15425
719,PhoneAccessories,439,284,68460,32855
720,PhoneAccessories,2290,299,76175,40872
721,PhoneAccessories,699,172,81204,23090
722,PhoneAccessories,2242,617,91725,34538
723,PhoneAccessories,2018,785,61418,28865
724,PhoneAccessories,2501,1161,72610,33722
725,PhoneAccessories,288,316,37777,16695
726,PhoneAccessories,426,193,56591,24479
727,PhoneAccessories,1505,344,65408,22278
728,PhoneAccessories,889,157,56548,21336
729,PhoneAccessories,1101,313,43460,13548
730,PhoneAccessories,1110,574,92352,25316
731,PhoneAccessories,3859,1579,53274,17327
732,PhoneAccessories,492,125,7509,2498
733,PhoneAccessories,172,120,19195,6133
734,PhoneAccessories,468,230,32483,12135
735,PhoneAccessories,819,848,35775,15245
736,PhoneAccessories,695,134,145713,40680
737,PhoneAccessories,267,51,59292,18709
738,PhoneAccessories,487,205,24995,8901
739,PhoneAccessories,1666,250,32373,9372
740,PhoneAccessories,641,269,54631,18039
741,PhoneAccessories,655,305,70141,24633
742,PhoneAccessories,2982,408,104397,27011
743,PhoneAccessories,1514,503,38784,13424
744,PhoneAccessories,686,581,54007,15226
745,PhoneAccessories,615,165,69404,23879
746,PhoneAccessories,1140,320,66359,30888
747,PhoneAccessories,3945,1084,59427,26636
748,PhoneAccessories,959,668,74871,34023
749,PhoneAccessories,359,181,84551,26522
750,PhoneAccessories,402,124,33653,11369
751,PhoneAccessories,677,236,91600,31426
752,PhoneAccessories,875,207,22730,8846
753,PhoneAccessories,699,266,88834,33272
754,PhoneAccessories,660,340,85251,31927
755,PhoneAccessories,1235,575,69971,21480
756,PhoneAccessories,921,519,127391,39871
757,PhoneAccessories,4815,857,119730,43274
758,PhoneAccessories,1040,185,39893,14514
759,PhoneAccessories,648,305,20284,8383
760,PhoneAccessories,1312,273,26650,11551
761,PhoneAccessories,474,248,21867,8424
762,PhoneAccessories,447,152,69087,18796
763,PhoneAccessories,331,243,37132,11467
764,PhoneAccessories,1892,364,105960,34153
765,PhoneAccessories,907,126,43904,17771
766,PhoneAccessories,2432,1265,29691,11591
767,PhoneAccessories,1228,655,51552,13243
768,PhoneAccessories,640,433,29571,9540
769,PhoneAccessories,969,627,134874,38468
770,PhoneAccessories,1162,484,160734,52085
771,PhoneAccessories,1327,309,50357,16474
772,PhoneAccessories,1340,360,167432,48802
773,PhoneAccessories,242,162,37172,13937
774,PhoneAccessories,2529,541,65522,30444
775,PhoneAccessories,642,421,38269,12177
776,PhoneAccessories,1078,1045,273980,92509
777,PhoneAccessories,1501,295,25229,7610
778,PhoneAccessories,692,1138,41888,16069
779,PhoneAccessories,727,250,38019,13803
780,PhoneAccessories,8246,1491,109123,40354
781,PhoneAccessories,1058,613,36646,15737
782,PhoneAccessories,1052,151,36801,9339
783,PhoneAccessories,952,496,40710,16468
784,PhoneAccessories,740,227,48208,14570
785,PhoneAccessories,1078,197,54188,20189
786,PhoneAccessories,281,240,27767,10987
787,PhoneAccessories,1201,746,130878,47416
788,PhoneAccessories,1080,160,38284,18656
789,PhoneAccessories,2099,574,48676,17141
790,PhoneAccessories,931,841,26590,11026
791,PhoneAccessories,1117,229,159026,67379
